id,type,name,rarity,weight,width,height,stack,value,gunpowder
NULL,ammoRifle,5.56x45 AP,4,0.02646,1,1,30,7500,15
NULL,ammoRifle,5.56x45 FMJ,1,0.02646,1,1,30,2500,10
NULL,ammoRifle,5.56x45 HP,2,0.02646,1,1,30,5000,10
NULL,ammoPistol,9mm AP,3,0.01984,1,1,45,5000,12
NULL,ammoPistol,9mm FMJ,1,0.01984,1,1,45,2000,6
NULL,ammoPistol,9mm HP,2,0.01984,1,1,45,4000,6
NULL,ammoPistol,.40 S&W AP,3,0.01984,1,1,45,5500,13
NULL,ammoPistol,.40 S&W FMJ,1,0.01984,1,1,45,3000,7
NULL,ammoPistol,.40 S&W HP,2,0.01984,1,1,45,4500,7
NULL,ammoRifle,7.62x39 AP,4,0.02646,1,1,30,5200,15
NULL,ammoRifle,7.62x39 FMJ,1,0.02646,1,1,30,1800,10
NULL,ammoRifle,7.62x39 HP,2,0.02646,1,1,30,3600,10
