id,type,name,rarity,weight,width,height,stack,value
NULL,matBasic,Coal,2,0.021,1,1,5,2500
NULL,matBasic,Wood,1,0.021,1,1,20,1000
NULL,matBasic,Leather,2,0.25,1,1,2,20000
NULL,matBasic,Cloth,1,0.03086,1,1,5,5000
NULL,matBasic,Plastic,1,0.22046,1,1,10,600
NULL,matBasic,Thread,1,0.00772,1,1,20,250
NULL,matBasic,Acid,1,0.021,1,1,10,2500
NULL,matBasic,Adhesive,2,0.03969,1,1,10,6000
NULL,matBasic,Antiseptic,2,0.03969,1,1,2,5000
NULL,matBasic,Oil,2,0.06857,1,1,10,5000
NULL,matBasic,Steel,1,0.06857,1,1,20,300
NULL,matBasic,Copper,2,0.06857,1,1,10,2000
NULL,matBasic,Zinc,1,0.06857,1,1,10,400
NULL,matBasic,Lead,2,0.34286,1,1,5,1500
NULL,matBasic,Aluminum,2,0.06857,1,1,10,1200
NULL,matBasic,Gold Scrap,5,0.06857,1,1,10,250000
NULL,matBasic,Silver Scrap,4,0.06857,1,1,10,50000
NULL,matBasic,Glass,1,0.03969,1,1,10,1000
NULL,matBasic,Ceramic,2,0.22046,1,1,10,1000
NULL,tool,Hammer,1,1.25,1,2,1,75000
NULL,tool,Flathead Screwdriver,1,0.33069,1,1,2,25000
NULL,tool,Phillip Head Screwdriver,1,0.33069,1,1,2,25000
NULL,tool,Set of Wrenches,3,3,2,2,4,165000
NULL,tool,Large Pliers,1,0.33069,1,1,1,25000
NULL,tool,Needle Nose Pliers,1,0.33069,1,1,1,25000
NULL,tool,Measuring Tape,1,0.33069,1,1,1,40000
NULL,tool,Lock Pick,2,0.05,1,1,5,50000
NULL,tool,Drill,3,4,2,2,4,225000
NULL,tool,Multi-Tool,4,0.25,1,1,1,400000
NULL,tool,Roll Pin Punch Set,3,3,2,2,4,120000
NULL,tool,Set of Files,3,2,2,2,4,200000
NULL,tool,Rotary Tool,3,1.5,1,2,2,180000
NULL,tool,Bench Vise,3,30,2,2,4,350000
NULL,tool,Scissors,1,0.2,2,1,2,35000
NULL,tool,Set of sockets,3,3.125,2,1,2,50000
NULL,tool,Socket,1,0.3125,1,1,10,5000
NULL,tool,Wrench,1,0.6,1,2,2,33000
NULL,tool,File,1,0.4,1,2,2,40000
NULL,tool,Ratchet,2,1,1,2,2,25000
NULL,tool,Needle,1,0.01544,1,1,10,200
NULL,matAdv,Brass,3,0.06857,1,1,10,2500
NULL,matAdv,Tape,2,0.11023,1,1,1,5000
NULL,matAdv,Ballistic Fiber,3,0.575,1,1,2,25000
NULL,matAdv,Circuitry,3,0.22046,1,1,10,20000
NULL,matAdv,Springs,3,0.07938,1,1,5,10000
NULL,matAdv,Screws,3,0.07938,1,1,10,5000
NULL,matAdv,Gears,3,0.07938,1,1,5,8000
NULL,matAdv,Rubber,1,0.22046,1,1,10,5600
NULL,junk,Car Battery,3,35,3,2,6,500000
NULL,junk,Pre-War Money,3,0.0005,1,1,100,5000
NULL,junk,Syringe,2,0.22046,1,1,1,7500
